adoption_rate,seed,crash_freq_Carrot,price_volatility_Carrot,equilibrium_score_Carrot,mean_profit_Carrot,loss_rate_Carrot,crash_freq_Leek,price_volatility_Leek,equilibrium_score_Leek,mean_profit_Leek,loss_rate_Leek,crash_freq_Tomato,price_volatility_Tomato,equilibrium_score_Tomato,mean_profit_Tomato,loss_rate_Tomato,crash_freq_Cabbage,price_volatility_Cabbage,equilibrium_score_Cabbage,mean_profit_Cabbage,loss_rate_Cabbage,crash_freq_Big Onion (Local),price_volatility_Big Onion (Local),equilibrium_score_Big Onion (Local),mean_profit_Big Onion (Local),loss_rate_Big Onion (Local)
0.1,0,0.0,0.0586153268989214,0.9848299473490639,18808283.002775975,0.0,0.0,0.09097977942975492,0.9763995434491587,14675964.607192954,0.0,0.0,0.07309375881003319,0.9784142585017083,18320805.3845703,0.0,0.0,0.05803406175350924,0.9826310074585877,10570829.22663532,0.0,0.0,0.10865801886366837,0.9737428549704635,51681805.99561288,0.0
0.1,1,0.0,0.09095339162290643,0.9789419070474987,19444857.484525446,0.0,0.0,0.05999920993960269,0.9857092102633224,13952021.84783435,0.0,0.0,0.06875272440790543,0.9789755062005137,17012019.463593405,0.0,0.0,0.07977368161049363,0.9737753305025348,10608470.56973906,0.0,0.0,0.0690796768098716,0.9846918797429401,51752127.1259807,0.0
0.1,2,0.0,0.09032222691726315,0.9780193583048861,20434978.959176686,0.0,0.0,0.0805316472719046,0.9787020969864676,13934351.500861838,0.0,0.0,0.08336963259475795,0.9795938471158764,17837459.18105193,0.0,0.0,0.11595679806821597,0.970017173690399,10569395.828087771,0.0,0.0,0.07662792913507856,0.9791336061750848,49540842.86076534,0.0
0.1,3,0.0,0.0835870734323587,0.9768796750292964,19156921.440039713,0.0,0.0,0.09446605699206036,0.9748100377449497,13987360.738513978,0.0,0.0,0.08941685647665489,0.9802817086648052,17924230.788820114,0.0,0.0,0.057970585742024135,0.9828832888402957,10836675.728309313,0.0,0.0,0.12451567967500388,0.9686368646902389,49217347.79220307,0.0
0.1,4,0.0,0.07528918738291339,0.9802757993848182,19989852.5163378,0.0,0.0,0.08612095133913686,0.978518286520551,13840951.683173409,0.0,0.0,0.06123969773316634,0.9809147863697062,17990172.750465084,0.0,0.043478260869565216,0.13286056465269694,0.9694600469405925,10807574.88073145,0.0,0.0,0.09997877122209789,0.9738726501970966,47445827.09039114,0.0
0.1,5,0.0,0.08596132346382666,0.9795966763223104,18808637.653196957,0.0,0.0,0.08200539293353257,0.9774721949214428,13811771.109314853,0.0,0.0,0.061931379288982034,0.9811983356172886,16726545.494077438,0.0,0.0,0.09992293360623543,0.9745118130681439,10778875.925358763,0.0,0.0,0.05540882687385829,0.9824572576079263,49702646.31027645,0.0
0.1,6,0.0,0.09965535093428408,0.9739922888073776,19076868.377201844,0.0,0.0,0.10771299224514044,0.9698679300666266,14062808.30273729,0.0,0.0,0.10965250032949582,0.9753388057277331,17566132.38200572,0.0,0.0,0.11365163283839484,0.9773637758297883,10962293.99832026,0.0,0.0,0.10675977792254547,0.9740479567289854,48853772.21285624,0.0
0.1,7,0.0,0.07443333643920359,0.9828723232820572,18774125.66017845,0.0,0.0,0.0881627977121496,0.9803555379928346,13636625.824170971,0.0,0.0,0.06694895513066938,0.983140089762253,17400507.59435674,0.0,0.0,0.09091515300905051,0.977464361762768,10582362.007409224,0.0,0.0,0.062694016960589,0.9822270208991423,50522434.13588307,0.0
0.1,8,0.0,0.06550263291401993,0.9819232588820888,19656907.118157487,0.0,0.0,0.10408494516183044,0.9767053567624475,13686900.73297383,0.0,0.0,0.10783921114812646,0.9736974259330764,18069132.08688706,0.0,0.0,0.11205640273187611,0.9740005416600398,10624807.815107027,0.0,0.0,0.12481293137221539,0.9681241377310146,49797252.06418324,0.0
0.1,9,0.0,0.06666904074081433,0.9830693880040382,19136400.439013302,0.0,0.0,0.08194736113135304,0.9764512783952594,14629532.864802951,0.0,0.0,0.09938701009937657,0.9718294553562222,17121373.504402433,0.0,0.0,0.10085481272943177,0.9751006046548616,10946343.054554338,0.0,0.0,0.07217997663314686,0.9753843438242525,50889913.70368526,0.0
0.3,0,0.0,0.058076884182216064,0.9842978459103335,18828292.663654387,0.0,0.0,0.09169186599764743,0.9741246844159898,14710910.717585975,0.0,0.0,0.07276313852480325,0.9788887230792298,18360015.349393714,0.0,0.0,0.05765547035232122,0.9824567254270905,10580842.81040568,0.0,0.0,0.10683125526872922,0.9728735451928167,51809608.833340794,0.0
0.3,1,0.0,0.09012968708012443,0.9782054392892295,19484112.782259956,0.0,0.0,0.061493032690063266,0.9843588156409956,13967003.85508444,0.0,0.0,0.0687102744633798,0.9777456685985597,17032362.674440216,0.0,0.0,0.0790574652632751,0.9722386493175058,10631410.559223263,0.0,0.0,0.06952507497066894,0.9838028047558746,51826444.49750775,0.0
0.3,2,0.0,0.08948883940647641,0.9780171179215524,20482351.343524586,0.0,0.0,0.08015528780017077,0.9767569039319705,13956100.516728438,0.0,0.0,0.08267096920789356,0.977807066910452,17866743.30367773,0.0,0.0,0.11571527035558296,0.9691361746179937,10588026.445672574,0.0,0.0,0.07877217403431132,0.9767749171160447,49613022.35670564,0.0
0.3,3,0.0,0.0853086052780452,0.9747988535337142,19187111.483937275,0.0,0.0,0.0936355316649854,0.9744825940165341,14015450.67379623,0.0,0.0,0.08953425729008016,0.9795771541998656,17951767.950131938,0.0,0.0,0.057414126109076556,0.9832901840232343,10849285.332122216,0.0,0.0,0.12559395525029934,0.966215591976936,49324833.27996411,0.0
0.3,4,0.0,0.0744981161558642,0.9797282091361897,20032120.66534423,0.0,0.0,0.08745015955867884,0.9774377398241624,13859386.483950486,0.0,0.0,0.062082307994689404,0.9810254762717548,18017509.46076953,0.0,0.043478260869565216,0.13511631656503403,0.9677345203410016,10829811.268793413,0.0,0.0,0.10099553752414989,0.9726701561971991,47514264.938172854,0.0
0.3,5,0.0,0.08711100389578351,0.9781670504869148,18832533.05617792,0.0,0.0,0.08201604392237194,0.9764669770423932,13831485.18861501,0.0,0.0,0.061691801499517786,0.980250881583102,16739622.197477363,0.0,0.0,0.1020741423535454,0.9726104676233769,10799197.417922497,0.0,0.0,0.05496810992382781,0.9820602971295017,49759638.85380753,0.0
0.3,6,0.0,0.09786170268586965,0.9729253840501867,19112486.20137627,0.0,0.0,0.10822233820746452,0.9669132746075721,14096680.799098218,0.0,0.0,0.11099477707428435,0.9735886570589486,17598472.558046132,0.0,0.0,0.11724014301776255,0.9753041427262902,10978111.428992419,0.0,0.0,0.1083004989535943,0.9725262305530435,48938799.22969041,0.0
0.3,7,0.0,0.07407829852246288,0.982996116527142,18795668.177664053,0.0,0.0,0.08946090886653474,0.9793067768860118,13650980.62309098,0.0,0.0,0.06883842249984501,0.9809847607871055,17424404.054271486,0.0,0.0,0.08993607880482163,0.9767662245328298,10598464.305560866,0.0,0.0,0.0618129259665297,0.9824204299419943,50609957.91149817,0.0
0.3,8,0.0,0.06629330910373464,0.9812745530993073,19687743.61106476,0.0,0.0,0.10506528154272123,0.9748756768746457,13709378.138166348,0.0,0.0,0.1093041992446101,0.9716105542399426,18105726.83839656,0.0,0.0,0.1132184901889251,0.9725024015909192,10641855.978450803,0.0,0.0,0.1274930342371712,0.9642309525628693,49922291.20100663,0.0
0.3,9,0.0,0.06619957483139137,0.982466983831006,19164102.839534592,0.0,0.0,0.08305087471578573,0.9760534479829112,14655558.856328495,0.0,0.0,0.10105542222464498,0.970147188602532,17152672.070752256,0.0,0.0,0.10184102374537693,0.9724671762326316,10970822.770723745,0.0,0.0,0.07288168368017273,0.9757056654341292,50984061.79601454,0.0
0.5,0,0.0,0.057629677883202515,0.9836442437509528,18845098.734232444,0.0,0.0,0.09076571844841129,0.9723250648873746,14740285.952994138,0.0,0.0,0.07178622957686945,0.9792629575575159,18387837.691706356,0.0,0.0,0.0575191356539129,0.9824049485814111,10588845.22134758,0.0,0.0,0.10576183256043896,0.9707387480639467,51906590.29001639,0.0
0.5,1,0.0,0.08966702849011608,0.976741957476975,19514827.15515946,0.0,0.0,0.06251610131056497,0.9830604756746296,13979508.688611666,0.0,0.0,0.06900071552262683,0.9764954794475776,17051926.821868047,0.0,0.0,0.0788837044889823,0.9704428906312798,10651300.347480794,0.0,0.0,0.07042108615971099,0.9821178635892868,51902905.50157082,0.0
0.5,2,0.0,0.08966563349248771,0.9764576736477478,20522071.500922482,0.0,0.0,0.0793876273427473,0.9751556916702943,13977266.234393341,0.0,0.0,0.08256446482413282,0.9752569826678336,17898324.61146875,0.0,0.0,0.11590575791909863,0.9675247323000433,10605953.180925569,0.0,0.0,0.07965074121418969,0.9754263488412631,49671190.83708801,0.0
0.5,3,0.0,0.08771331138810647,0.9727897095094811,19212278.880270533,0.0,0.0,0.09348990660368717,0.9739878397163424,14035045.938293466,0.0,0.0,0.08995998096964214,0.9788892321393255,17978438.52745356,0.0,0.0,0.05681586050498834,0.9834242716105622,10860275.199927714,0.0,0.0,0.12663107474323346,0.9643003753316505,49415284.853498854,0.0
0.5,4,0.0,0.07311823913572463,0.9777313610236328,20070247.238203574,0.0,0.0,0.08893529671589755,0.9761214339046868,13876936.76684396,0.0,0.0,0.0636506144555443,0.9796052313088447,18044798.482952032,0.0,0.043478260869565216,0.13973958840366843,0.9646426142067986,10846922.154247884,0.0,0.0,0.10176789118211427,0.9715213954031183,47577131.684052944,0.0
